origin_city,dest_city,total_trips,unique_drivers,total_cost,avg_cost,min_cost,max_cost
Пермь,Пермь,1,1,13000.0,13000.0,13000.0,13000.0
Петрозаводск,Ростов-на-Дону,1,1,63900.0,63900.0,63900.0,63900.0
Пятигорск,Омск,1,1,57500.0,57500.0,57500.0,57500.0
Ростов-на-Дону,Красноярск,1,1,50000.0,50000.0,50000.0,50000.0
Ростов-на-Дону,Москва,3,3,56500.0,18833.333333333332,17500.0,20000.0
Ростов-на-Дону,Новосибирск,1,1,51500.0,51500.0,51500.0,51500.0
Ростов-на-Дону,Ростов-на-Дону,3,3,159000.0,53000.0,4000.0,150000.0
Ростов-на-Дону,Санкт-Петербург,3,2,93200.0,31066.666666666668,26200.0,40000.0
Ростов-на-Дону,Тольятти,3,3,40000.0,13333.333333333334,12000.0,15000.0
Ростов-на-Дону,Тюмень,1,1,55150.0,55150.0,55150.0,55150.0
Рязань,Челябинск,1,1,32000.0,32000.0,32000.0,32000.0
Самара,Москва,3,3,85200.0,28400.0,20200.0,40000.0
Санкт-Петербург,Барнаул,1,1,48100.0,48100.0,48100.0,48100.0
Санкт-Петербург,Владикавказ,3,1,140000.0,46666.666666666664,40000.0,55000.0
Санкт-Петербург,Екатеринбург,2,2,219000.0,109500.0,48000.0,171000.0
Санкт-Петербург,Ижевск,1,1,50600.0,50600.0,50600.0,50600.0
Санкт-Петербург,Иркутск,1,1,90000.0,90000.0,90000.0,90000.0
Санкт-Петербург,Казань,2,2,72000.0,36000.0,35000.0,37000.0
Санкт-Петербург,Кемерово,1,1,55000.0,55000.0,55000.0,55000.0
Санкт-Петербург,Краснодар,2,2,115000.0,57500.0,35000.0,80000.0
Санкт-Петербург,Москва,40,15,654000.0,16350.0,12000.0,23000.0
Санкт-Петербург,Мурманск,4,2,116000.0,29000.0,26000.0,30000.0
Санкт-Петербург,Набережные Челны,1,1,43000.0,43000.0,43000.0,43000.0
Санкт-Петербург,Нальчик,1,1,40000.0,40000.0,40000.0,40000.0
Санкт-Петербург,Невинномысск,6,3,293000.0,48833.333333333336,40000.0,55000.0
Санкт-Петербург,Нижний Новгород,1,1,40000.0,40000.0,40000.0,40000.0
Санкт-Петербург,Новосибирск,1,1,65000.0,65000.0,65000.0,65000.0
Санкт-Петербург,Омск,2,2,142000.0,71000.0,67000.0,75000.0
Санкт-Петербург,Оренбург,1,1,60800.0,60800.0,60800.0,60800.0
Санкт-Петербург,Пятигорск,1,1,20000.0,20000.0,20000.0,20000.0
Санкт-Петербург,Ростов-на-Дону,3,1,115000.0,38333.333333333336,35000.0,40000.0
Санкт-Петербург,Самара,2,2,64000.0,32000.0,32000.0,32000.0
Санкт-Петербург,Санкт-Петербург,16,3,103900.0,6493.75,4000.0,15000.0
Санкт-Петербург,Сосновый Бор,1,1,10000.0,10000.0,10000.0,10000.0
Санкт-Петербург,Тольятти,2,2,60000.0,30000.0,15000.0,45000.0
Санкт-Петербург,Тюмень,2,2,88000.0,44000.0,38000.0,50000.0
Санкт-Петербург,Усть-Луга,1,1,17000.0,17000.0,17000.0,17000.0
Санкт-Петербург,Челябинск,3,3,173900.0,57966.666666666664,55400.0,60000.0
Санкт-Петербург ул Смольного4 кор3,Санкт-Петербург площадка или автовоз,1,1,6000.0,6000.0,6000.0,6000.0
Саратов,Москва,1,1,40000.0,40000.0,40000.0,40000.0
Саратов,Тольятти,2,2,28000.0,14000.0,5000.0,23000.0
Серпухов,Москва,1,1,20000.0,20000.0,20000.0,20000.0
Симферополь,Краснодар,1,1,25000.0,25000.0,25000.0,25000.0
Симферополь,Ростов-на-Дону,2,1,50000.0,25000.0,25000.0,25000.0
Симферополь,Санкт-Петербург,1,1,55000.0,55000.0,55000.0,55000.0
Сочи,Краснодар,1,1,28000.0,28000.0,28000.0,28000.0
Сочи,Москва,1,1,30000.0,30000.0,30000.0,30000.0
Ставрополь,Москва,1,1,28000.0,28000.0,28000.0,28000.0
Сургут,Ижевск,1,1,37000.0,37000.0,37000.0,37000.0
Сургут,Казань,1,1,30000.0,30000.0,30000.0,30000.0
Сургут,Москва,4,4,164400.0,41100.0,32000.0,47000.0
Сургут,Тольятти,2,2,78000.0,39000.0,28000.0,50000.0
Сургут,Тюмень,3,2,51000.0,17000.0,15000.0,18000.0
Сыктывкар,Казань,1,1,15000.0,15000.0,15000.0,15000.0
Тверь,Санкт-Петербург,1,1,30000.0,30000.0,30000.0,30000.0
Тобольск,Москва,1,1,45000.0,45000.0,45000.0,45000.0
Тольятти,Владикавказ,10,6,343000.0,34300.0,30000.0,40000.0
Тольятти,Волгоград,1,1,20000.0,20000.0,20000.0,20000.0
Тольятти,Екатеринбург,7,5,190700.0,27242.85714285714,25000.0,30000.0
Тольятти,Иркутск,1,1,50000.0,50000.0,50000.0,50000.0
Тольятти,Краснодар,15,6,461000.0,30733.333333333332,27000.0,40000.0
Тольятти,Красноярск,2,2,90000.0,45000.0,40000.0,50000.0
Тольятти,Махачкала,2,1,63000.0,31500.0,30000.0,33000.0
Тольятти,Минеральные Воды,1,1,31000.0,31000.0,31000.0,31000.0
Тольятти,Москва,6,3,117400.0,19566.666666666668,18000.0,21000.0
Тольятти,Нальчик,7,4,286000.0,40857.142857142855,33000.0,75000.0
Тольятти,Невинномысск,1,1,35000.0,35000.0,35000.0,35000.0
Тольятти,Новосибирск,3,3,120000.0,40000.0,40000.0,40000.0
Тольятти,Омск,1,1,30000.0,30000.0,30000.0,30000.0
Тольятти,Оренбург,2,2,27000.0,13500.0,10000.0,17000.0
Тольятти,Ростов-на-Дону,6,6,175000.0,29166.666666666668,27000.0,30000.0
Тольятти,Ставрополь,1,1,42000.0,42000.0,42000.0,42000.0
Тольятти,Тольятти,1,1,10000.0,10000.0,10000.0,10000.0
Тольятти,Тюмень,1,1,35000.0,35000.0,35000.0,35000.0
Тольятти,Хабаровск,1,1,120000.0,120000.0,120000.0,120000.0
